Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R6_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.675,-100.25,90,bottom
R6_ILIM1,226kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.175,-100.25,90,bottom
R7_FAULT2,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.725,-106.7,90,bottom
R7_ILIM2,226kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.225,-106.7,90,bottom
R12,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,173.75,-132.5,90,bottom
R13,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,134.75,-132.5,90,bottom
R14,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,181.4125,-94.4125,90,bottom
R15,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,181.4125,-100.3375,90,bottom
R16,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,181.4125,-106.5875,90,bottom
R18,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.33,-92.785,0,bottom
R19,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.41,-93.38,-90,bottom
R20,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.88,-97.485,0,bottom
R21,22.1kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.985,-96.57,-90,bottom
R22,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.985,-96.57,90,bottom
R23,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.875,-93.585,0,bottom
R24,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.88,-95.53,0,bottom
R25,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.985,-96.57,90,bottom
R26,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.88,-89.65,0,bottom
R27,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.88,-91.615,0,bottom
R52,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.88125,-125.8,180,bottom
R53,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.63125,-118.05,0,bottom
R54,5kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.88125,-123.8,180,bottom
