Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C29,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,161.35,-89.1125,90,top
C30,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.4625,-92.95,180,top
C31,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.6125,-93.2,0,top
C32,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.35,-121.4375,90,top
C33,0.1μF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,147.15,-121.4625,-90,top
C43,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.812499,-135.3022,180,top
C44,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.462499,-135.3022,180,top
C45,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,185.299999,-134.5,180,top
C46,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,188.649999,-134.5,180,top
C56,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118,-113.0625,90,top
C58,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.15,-113.15,90,top
D1,LED,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,110.9675,-129.2,0,top
D2,LED,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,120.6,-124.6,-90,top
